date,hour,address,district,beat,grid,description,ucr_ncic_code,code_description,latitude,longitude
1/1/06,0:00,3108 OCCIDENTAL DR,3,3C        ,1115,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.55042047,-121.3914158
1/1/06,0:00,2082 EXPEDITION WAY,5,5A        ,1512,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.47350069,-121.4901858
1/1/06,0:00,4 PALEN CT,2,2A        ,212,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.65784584,-121.46210090000001
1/1/06,0:00,22 BECKFORD CT,6,6C        ,1443,476 PC PASS FICTICIOUS CHECK,2501,Forgery of Checks,38.50677377,-121.42695079999999
1/1/06,0:00,3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY-UNSPECIFIED,2299,Burglary-Remarks,38.6374478,-121.3846125
1/1/06,0:00,5301 BONNIEMAE WAY,6,6B        ,1084,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.52697863,-121.45133829999999
1/1/06,0:00,2217 16TH AVE,4,4A        ,957,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.537172999999996,-121.48757739999999
1/1/06,0:00,3547 P ST,3,3C        ,853,484 PC   PETTY THEFT/INSIDE,2308,Larceny-From Building,38.56433456,-121.46188259999998
1/1/06,0:00,3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY BUSINESS,2203,Burglary-Forced Entry-Nonresidence,38.6374478,-121.3846125
1/1/06,0:00,1326 HELMSMAN WAY,1,1B        ,444,1708 US   THEFT OF MAIL,2310,Larceny-From Mails,38.60960217,-121.4918375
1/1/06,0:00,2315 STOCKTON BLVD,6,6B        ,1005,ASSAULT WITH WEAPON - I RPT,7000,Code not found,38.55426406,-121.45460449999999
1/1/06,0:00,5112 63RD ST,6,6B        ,1088,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.52816497,-121.43145279999999
1/1/06,0:00,6351 DRIFTWOOD ST,4,4C        ,1261,SUSP PERS-NO CRIME - I RPT,7000,Code not found,38.51092155,-121.54882009999999
1/1/06,0:00,7721 COLLEGE TOWN DR,3,3C        ,888,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.55611545,-121.4142729
1/1/06,0:00,8460 ROVANA CIR,6,6C        ,1447,484G(B) PC ACCESS CARD FRAUD,2605,Fraud-Illegal Use Credit Cards,38.50398051,-121.3923987
1/1/06,0:00,4856 11TH AVE,6,6B        ,1054,487(A) PC GRAND THEFT,2303,Shoplifting,38.54152896,-121.44950970000001
1/1/06,0:00,6033 69TH ST,6,6C        ,1403,TELEPEST -I RPT,7000,Code not found,38.51657327,-121.4234749
1/1/06,0:00,547 L ST,3,3M        ,742,487(A) GRAND THEFT-INSIDE,2308,Larceny-From Building,38.58184562,-121.50116570000002
1/1/06,0:00,3525 42ND ST,6,6A        ,1034,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.54270763,-121.4572067
1/1/06,0:00,5641 DORSET WAY,4,4C        ,1225,484J PC PUBLISH CARD INFO,2605,Fraud-Illegal Use Credit Cards,38.52459987,-121.52036090000001
1/1/06,0:01,5551 REXLEIGH CT,5,5C        ,1661,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.44659211,-121.4423777
1/1/06,0:01,1896 ARDEN WAY,2,2C        ,628,484G(B) PC ACCESS CARD FRAUD,2605,Fraud-Illegal Use Credit Cards,38.59664183,-121.423349
1/1/06,0:01,6168 RIVERSIDE BLVD,4,4C        ,1251,484 PC PETTY THEFT,2399,Larceny-Remarks,38.51512387,-121.5291027
1/1/06,0:01,415 SEXTANT WAY,2,2A        ,213,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.65660112,-121.45604490000001
1/1/06,0:01,15 BASIN CT,5,5C        ,1654,TRAFFIC - I RPT,7000,Code not found,38.44281523,-121.4095243
1/1/06,0:01,3340 62ND ST,6,6B        ,1047,594(B)(1)PC  VANDALISM +$400,2999,Damage Property-Remarks,38.5438039,-121.4332827
1/1/06,0:01,4280 DEER HILL DR,5,5B        ,1616,484G(B) PC ACCESS CARD FRAUD,2605,Fraud-Illegal Use Credit Cards,38.47121906,-121.4547389
1/1/06,0:01,2814 5TH ST,4,4A        ,923,484 PC  PETTY THEFT/ OUTSIDE,2309,Larceny-From Yards,38.5564521,-121.51233090000001
1/1/06,0:01,1816 FLORIN RD,5,5A        ,1361,HARASSMENT - I RPT,7000,Code not found,38.49535335,-121.49656019999999
1/1/06,0:01,1260 BELL AVE,2,2A        ,235,484 PC PETTY THEFT,2399,Larceny-Remarks,38.64717373,-121.4375169
1/1/06,0:01,7676 BRIDGEVIEW DR,4,4C        ,1294,LOST PROPERTY - I RPT,7000,Code not found,38.47889498,-121.53544769999999
1/1/06,0:01,3816 CYPRESS ST,2,2A        ,503,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.63734742,-121.44464199999999
1/1/06,0:01,1211 23RD ST,3,3B        ,747,484G(A)PC USE FORGED CARD,2605,Fraud-Illegal Use Credit Cards,38.57289613,-121.47679579999999
1/1/06,0:01,7001 EAST PKWY,6,6C        ,1427,503 PC   EMBEZZLEMENT,2799,Embezzle-Remarks,38.51436734,-121.38542859999998
1/1/06,0:01,918 LAKE FRONT DR,4,4C        ,1294,TELEPEST -I RPT,7000,Code not found,38.47948616,-121.5215057
1/1/06,0:01,4851 KOKOMO DR,1,1A        ,123,487(A) GRAND THEFT-INSIDE,2308,Larceny-From Building,38.65994218,-121.52590079999999
1/1/06,0:01,2377 OAK HARBOUR DR,1,1B        ,440,653M(A) PC OBSCENE/THREAT CALL,5309,Harassing Communication,38.60893745,-121.51879270000002
1/1/06,0:01,1823 P ST,3,3B        ,766,484 PETTY THEFT/LICENSE PLATE,2399,Larceny-Remarks,38.57084621,-121.484429
1/1/06,0:01,1100 14TH ST,3,3M        ,745,FOUND PROPERTY - I RPT,7000,Code not found,38.57815667,-121.48769579999998
1/1/06,0:01,3301 ARENA BLVD,1,1A        ,303,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.64378844,-121.53415929999998
1/1/06,0:01,1088 PREGO WAY,1,1B        ,404,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.62798948,-121.4857344
1/1/06,0:01,3259 SPINNING ROD WAY,1,1B        ,475,484J PC PUBLISH CARD INFO,2605,Fraud-Illegal Use Credit Cards,38.61153542,-121.53706129999999
1/1/06,0:01,1010 J ST,3,3M        ,744,THREATS - I RPT,7000,Code not found,38.57999251,-121.4930384
1/1/06,0:01,400 BANNON ST,3,3A        ,704,530 PC FALSE PERS. REC PROP,2604,Fraud-Imperson,38.59540732,-121.49787979999999
1/1/06,0:10,6115 63RD ST,6,6B        ,1421,246 PC SHOOT OCCUP DWELL/VEH,5213,Firing Weapon-Remarks,38.51526387,-121.4296507
1/1/06,0:15,47 FIRE LEAF CT,2,2A        ,212,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.65737252,-121.4577585
1/1/06,0:18,5140 61ST ST,6,6B        ,1087,SHOOT INTO OCCUP DWELL - I RPT,7000,Code not found,38.52799185,-121.434789
1/1/06,0:19,1814 19TH ST,3,3A        ,776,FOUND PROPERTY - I RPT,7000,Code not found,38.56796664,-121.48525420000001
1/1/06,0:24,6940 27TH ST,4,4B        ,1356,243(E)1 BATTERY NONCOHAB SPOUS,1315,Aggravated Assault-Weapon,38.50009398,-121.47762620000002
1/1/06,0:25,3820 65TH ST,6,6B        ,1058,MISCELLANEOUS I RPT (ZMISC),7000,Code not found,38.54138742,-121.4282497
1/1/06,0:27,2829 FLORIN RD,4,4B        ,1356,TOWED/STORED VEH-14602.6,7000,Code not found,38.49609085,-121.4740915
1/1/06,0:30,1080 APPOLLO WAY,4,4A        ,1203,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.52973955,-121.5195294
1/1/06,0:30,6571 WEATHERFORD WAY,5,5C        ,1635,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.46637324,-121.4265274
1/1/06,0:30,930 43RD AVE,4,4C        ,1253,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.51538948,-121.5255605
1/1/06,0:31,2830 E ST,3,3B        ,728,211 PC ROBBERY- BUSINESS,1299,Robbery-Remarks,38.57905906,-121.4661967
1/1/06,0:36,NORTHGATE BLVD / W SILVER EAGLE RD,1,1C        ,419,CASUALTY REPORT,7000,Code not found,38.63036289,-121.4755269
